model,score,coding,reasoning
grok-4,67.52,63.81,\y
o3,67.07,59.69,\y
o4-mini,65.05,63.48,\y
gemini-2-5-pro,64.63,61.46,\y
claude-4-sonnet-thinking,58.83,52.77,\y
deepseek-r1-0528,58.74,58.66,\y
o3-mini-high,55.46,56.61,\y
claude-4-opus-thinking,55.34,51.71,\y
qwen3-235b-a22b-instruct-2507,50.74,44.19,\n
deepseek-r1-0120,49.93,48.70,\y
kimi-k2,48.56,36.52,\n
qwen3-235b-a22b-instruct-reasoning,48.42,51.08,\y
gpt-4-1,46.77,41.90,\n
claude-3-7-sonnet-thinking,46.98,43.79,\y
claude-4-opus,46.58,47.52,\n
gemini-2-5-flash,47.26,39.29,\n
claude-4-sonnet,45.72,41.07,\n
deepseek-v3-0324,43.99,38.15,\n
gpt-4-1-mini,42.25,44.32,\n
gpt-4-5,42.41,,\n
grok-3,39.92,39.67,\n
gpt-4o-chatgpt-03-25,39.52,39.56,\n
qwen3-235b-a22b-instruct,33.33,32.07,\n
qwen3-32b-instruct,29.82,28.40,\n
mistral-medium-3,38.59,36.55,\n
gpt-4o,29.61,32.12,\n
