Model,Organization,Global Average,Reasoning Average,Coding Average,Agentic Coding Average,Mathematics Average,Data Analysis Average,Language Average,IF Average
o3 High,OpenAI,74.61,94.67,76.71,36.67,85.0,67.02,76.0,86.17
Claude 4 Opus Thinking,Anthropic,72.93,90.47,73.25,33.33,88.25,70.73,73.72,80.74
o3 Pro High,OpenAI,74.72,94.67,76.78,31.67,84.75,69.4,79.88,85.87
Claude 4 Opus,Anthropic,65.93,56.44,73.58,31.67,78.79,66.51,76.11,78.38
Claude 4 Sonnet Thinking,Anthropic,72.08,95.25,73.58,30.0,85.25,69.84,70.19,80.43
o3 Medium,OpenAI,71.98,91.0,77.86,28.33,80.66,68.19,73.48,84.32
o4-Mini High,OpenAI,71.52,88.11,79.98,28.33,84.9,68.33,66.05,84.96
DeepSeek R1 (2025-05-28),DeepSeek,70.1,91.08,71.4,26.67,85.26,71.54,64.82,79.95
Qwen 3 Coder 480B A35B Instruct,Alibaba,60.45,54.58,73.19,25.0,67.28,64.68,64.26,74.16
Claude 4 Sonnet,Anthropic,63.37,54.86,78.25,25.0,76.39,64.68,67.18,77.25
Claude 3.7 Sonnet Thinking,Anthropic,67.43,76.17,73.19,25.0,79.0,69.11,68.27,81.25
Grok 4,xAI,72.11,97.78,71.34,23.33,88.84,69.53,75.83,78.12
o4-Mini Medium,OpenAI,66.87,78.47,74.22,21.67,81.02,68.47,62.41,81.83
Claude 3.7 Sonnet,Anthropic,58.48,49.11,74.28,21.67,64.65,59.96,63.19,76.49
DeepSeek R1,DeepSeek,65.15,77.17,76.07,20.0,77.91,69.63,54.77,80.51
Gemini 2.5 Pro (Max Thinking),Google,70.95,94.28,73.9,20.0,84.19,71.5,75.44,77.35
Kimi K2 Instruct,Moonshot AI,62.7,62.97,71.78,20.0,74.41,63.41,63.85,82.47
Gemini 2.5 Flash,Google,64.42,78.53,63.53,18.33,84.1,69.85,57.04,79.56
Mistral Medium 3,Mistral AI,50.65,41.97,61.48,15.0,59.74,60.2,44.74,71.4
Claude 3.5 Sonnet,Anthropic,51.8,43.22,73.9,15.0,50.54,56.19,54.48,69.3
GPT-4.5 Preview,OpenAI,58.65,54.42,76.07,15.0,67.94,60.07,64.76,72.33
DeepSeek V3.1,DeepSeek,55.99,44.28,68.91,15.0,71.44,64.02,46.82,81.47
Grok 3 Mini Beta (High),xAI,62.36,87.61,54.52,15.0,77.0,64.58,59.09,78.7
ChatGPT-4o,OpenAI,54.74,48.81,77.48,13.33,55.72,66.52,49.43,71.92
Gemini 2.5 Pro,Google,69.39,93.72,70.7,13.33,83.33,71.6,74.52,78.54
Qwen 3 235B A22B Thinking,Alibaba,64.93,77.94,66.41,13.33,80.15,68.31,60.61,87.73
Grok 3 Beta,xAI,56.05,48.53,73.58,13.33,62.75,55.63,53.8,84.74
Qwen 3 235B A22B Instruct 2507,Alibaba,64.72,86.89,66.41,13.33,79.18,65.24,66.29,75.7
GPT-4.1,OpenAI,55.9,44.39,73.19,13.33,62.39,66.4,54.55,77.05
Qwen 3 30B A3B,Alibaba,59.02,71.31,47.47,11.67,76.65,66.6,56.24,83.23
Qwen 3 32B,Alibaba,63.71,83.08,64.24,10.0,80.05,68.29,55.15,85.17
Mistral Small,Mistral AI,40.55,37.08,49.65,8.33,38.39,52.14,34.59,63.66
GPT-4o,OpenAI,47.43,39.75,69.29,8.33,41.48,63.53,44.68,64.94
Gemini 2.5 Flash Lite Preview (Thinking),Google,57.53,63.42,59.25,6.67,71.14,65.5,52.59,84.17
GPT-4.1 Mini,OpenAI,51.57,53.78,72.11,6.67,58.78,61.34,38.0,70.31
DeepSeek R1 Distill Llama 70B,DeepSeek,48.53,59.81,46.65,6.67,58.8,60.81,37.05,69.94
Claude 3.5 Haiku,Anthropic,39.51,26.19,53.17,6.67,34.84,54.12,39.71,61.88
Command A,Cohere,44.17,36.33,54.26,5.0,45.54,48.46,36.7,82.9
DeepSeek R1 Distill Qwen 32B,DeepSeek,41.44,44.36,47.03,5.0,60.13,46.94,30.92,55.71
Gemini 2.0 Flash Lite,Google,46.78,32.25,59.31,5.0,54.97,65.39,33.94,76.63
Phi-4 Reasoning Plus,Microsoft,49.27,57.83,60.59,5.0,62.83,54.74,30.69,73.17
Hunyuan Turbos,Tencent,43.99,38.22,50.35,3.33,57.47,47.99,34.46,76.13
Qwen2.5 72B Instruct Turbo,Alibaba,42.51,34.08,57.26,3.33,51.88,50.16,36.47,64.39
Gemma 3 27B,Google,42.0,34.42,48.94,3.33,52.27,38.8,41.31,74.9
Llama 4 Maverick 17B 128E Instruct,Meta,47.78,43.83,54.19,3.33,60.58,47.11,49.65,75.75
GPT-4.1 Nano,OpenAI,40.51,35.58,63.92,3.33,42.39,49.82,30.96,57.54
Qwen2.5 Max,Alibaba,51.93,38.53,66.79,3.33,56.87,64.27,58.37,75.35
Mistral Large,Mistral AI,43.31,33.83,62.89,1.67,42.2,54.2,40.45,67.93
Gemma 3 12B,Google,37.08,28.61,42.16,1.67,48.14,33.86,31.27,73.83
Command R Plus,Cohere,30.14,21.64,27.13,1.67,22.82,49.23,30.86,57.61
Gemma 3n E4B IT,Google,27.85,21.94,31.48,1.67,32.28,16.94,25.89,64.74
Command R,Cohere,27.15,20.58,26.1,1.67,18.35,39.77,27.93,55.62
Gemma 3n E2B IT,Google,21.74,19.67,16.44,1.67,26.32,15.67,15.04,57.41
Gemma 3 4B,Google,23.33,19.78,15.68,0.0,31.33,17.9,15.06,63.58
